 ,begin,brand,customer,dosageUnit,drug,drugDisease,drugIngredient,end,qualifier,spec,specTotal,specUint,subBrand,w,wky,wkz
begin,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brand,0,0,1,0,0,23,46,0,9,0,0,0,40,0,0,0
customer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dosageUnit,0,0,0,0,1,0,0,110,0,0,1,0,0,0,0,4
drug,0,0,0,1,1,0,0,4,0,0,0,1,0,0,0,0
drugDisease,0,0,0,22,1,10,0,0,10,0,0,0,0,0,0,0
drugIngredient,0,0,0,84,1,8,17,0,2,0,0,0,0,0,1,0
end,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qualifier,0,0,0,9,1,1,10,0,1,0,0,0,0,0,0,0
spec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
specTotal,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0
specUint,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
subBrand,0,0,0,0,1,0,39,0,0,0,0,0,0,0,0,0
w,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
wky,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
wkz,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
